game_pk,game_date,player_id,player_name,opposing_team,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb,season
822711,2026-07-11,676609,"Caballero, José",WSH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822711,2026-07-11,683011,"Volpe, Anthony",WSH,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
822711,2026-07-11,691176,"Domínguez, Jasson",WSH,4,4,1,1,0,0,0,0,0,0,0,0,0,1,2026
822711,2026-07-11,700250,"Rice, Ben",WSH,4,2,2,2,0,0,0,2,0,0,0,0,0,2,2026
822774,2026-08-16,502671,"Goldschmidt, Paul",TOR,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026
822774,2026-08-16,641857,"McMahon, Ryan",TOR,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2026
822774,2026-08-16,642708,"Rosario, Amed",TOR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822774,2026-08-16,645305,"Sánchez, Ali",TOR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
822774,2026-08-16,663757,"Grisham, Trent",TOR,4,4,0,0,0,0,0,0,0,3,0,0,0,0,2026
822774,2026-08-16,665862,"Chisholm Jr., Jazz",TOR,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2026
822774,2026-08-16,669224,"Wells, Austin",TOR,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2026
822774,2026-08-16,671218,"Ramos, Heliot",TOR,5,4,1,0,1,0,0,1,0,0,0,0,0,2,2026
822774,2026-08-16,671277,"García Jr., Luis",TOR,5,3,1,1,0,0,0,1,0,1,0,0,1,1,2026
822774,2026-08-16,676609,"Caballero, José",TOR,4,2,1,1,0,0,0,1,0,1,0,0,1,1,2026
822774,2026-08-16,682987,"Jones, Spencer",TOR,4,4,0,0,0,0,0,0,0,3,0,0,0,0,2026
822774,2026-08-16,700250,"Rice, Ben",TOR,5,5,1,0,0,0,1,0,0,1,0,0,2,4,2026
822774,2026-08-16,806146,"Lombard Jr., George",TOR,4,3,1,0,1,0,0,1,0,0,0,0,0,2,2026
822775,2026-08-15,641857,"McMahon, Ryan",TOR,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2026
822775,2026-08-15,663757,"Grisham, Trent",TOR,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2026
